Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT,PFE,RTX,XOM
1/28/20,79.422501,132.449997,316.559998,136.740005,47.77,111.120003,138.369995,47.16,242.580002,233.860001,139.550003,67.309998,149.5,134.429993,57.009998,210.389999,165.580002,86.25,165.460007,100.410004,126.029999,134.389999,285.869995,202.850006,60.700001,52.779999,116.599998,36.185959,96.198868,64.650002
1/29/20,81.084999,131.679993,322.019989,135.779999,47.049999,110.370003,136.059998,49.669998,240.119995,234.020004,137.690002,66.330002,150.539993,134.229996,57.009998,214.440002,162,87.239998,168.039993,99.839996,125.059998,133.270004,282.899994,204.860001,59.529999,52.279999,115.889999,35.654648,96.173691,64.110001
1/30/20,80.967499,133.220001,323.299988,135.369995,47.240002,111.400002,137.809998,48.470001,244.130005,232.789993,136.770004,66.470001,150.360001,135.889999,58.860001,216.179993,162.509995,86.5,172.779999,98.190002,125.949997,134.199997,280.980011,208.210007,59.360001,51.950001,116.580002,35.170776,96.916298,64.790001
1/31/20,77.377502,129.869995,318.269989,131.350006,45.970001,107.139999,138.309998,46.07,237.75,228.100006,143.729996,63.93,148.869995,132.360001,58.400002,213.970001,158.660004,85.440002,170.229996,96.300003,124.620003,131.619995,272.450012,198.970001,59.439999,50.849998,114.489998,35.332069,94.524857,62.119999
2/3/20,77.165001,131,316,129.770004,46.529999,106.279999,141.320007,46.740002,239.009995,231.539993,146.270004,64.419998,150.169998,133.369995,58.580002,215.179993,156.589996,87.339996,174.380005,99.269997,125.110001,133.610001,274.019989,200.809998,58.049999,50.950001,114.269997,35.588234,94.367523,60.73
2/4/20,79.712502,131.850006,317.940002,133.509995,47.619999,106.849998,144.729996,48.049999,241.940002,235,149.110001,65.459999,151.600006,135.289993,58.84,214.619995,157.240005,88.360001,180.119995,101.379997,125.660004,132.580002,280.839996,203.559998,58.290001,52.34,115.269997,35.759014,96.286972,59.970001
2/5/20,80.362503,133.600006,329.549988,137.440002,48.450001,110.279999,141.369995,49.610001,244.300003,238.110001,156.330002,67.339996,153.990005,137.589996,58.849998,214.369995,162.330002,85.830002,179.899994,100.540001,126.809998,136.779999,295.730011,202.809998,59.130001,52.98,116.809998,36.21442,97.942101,62.73
2/6/20,81.302498,133.25,341.429993,137.25,48.689999,109.489998,142.699997,49.200001,241.820007,238.839996,156.759995,67.089996,153.529999,137.610001,58.990002,212.869995,162.889999,85.68,183.630005,100.269997,127.139999,136.5,292.459991,203.039993,59.439999,53.490002,116.309998,36.299809,98.300819,61.880001
2/7/20,80.0075,131.820007,336.75,133.369995,47.970001,108.940002,141.020004,48.029999,238,237.300003,153.410004,66.019997,151.889999,137.169998,59.189999,211.610001,160.080002,85.080002,183.889999,99.440002,126.080002,136.009995,289.220001,202.740005,59.939999,53.240002,116.449997,36.100571,98.697296,61.470001
2/10/20,80.387497,132.240005,344.670013,134.320007,48.869999,109.790001,142.589996,48.189999,237.360001,240.610001,154.429993,66.389999,151.860001,137.740005,59.75,213.210007,160.149994,85.660004,188.699997,100.019997,126.169998,136.220001,287.029999,205.990005,60.240002,53.419998,115.25,35.872864,98.52108,59.959999
