Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
1/28/19,156.300003,100.379997,362.970001,124.370003,45.75,112.169998,110.809998,82.734673,199.720001,179.830002,134.270004,46.709999,128.990005,128.990005,47.169998,183.600006,193.199997,72.919998,105.080002,80.32,39.529999,93.519997,125.029999,266.769989,115.080002,135.990005,55.07,71.580002,97.059998,71.239998
1/29/19,154.679993,100.959999,364.910004,126.529999,45.959999,111.830002,110.900002,83.289749,200.5,179.690002,134.330002,46.540001,130.330002,130.330002,47.400002,182.169998,196.949997,73.230003,102.940002,80.220001,40.77,93.540001,124.82,267.339996,117.839996,135,53.279999,71.5,96.709999,71.510002
1/30/19,165.25,102.669998,387.720001,130.110001,46.709999,113.010002,110.129997,84.371429,202.479996,182.179993,134.380005,47.540001,131.639999,131.639999,47.860001,181.770004,199.270004,73.370003,106.379997,81.279999,41.580002,94.519997,125.879997,270.369995,119.120003,137.600006,54,71.610001,94.800003,72.290001
1/31/19,166.440002,102.699997,385.619995,133.160004,47.290001,114.650002,111.519997,76.586143,198.009995,183.529999,134.419998,47.119999,133.080002,133.080002,48.130001,178.779999,200.300003,74.43,104.43,81.879997,42.450001,96.470001,125.540001,270.200012,118.07,135.009995,55.060001,72.260002,95.830002,73.279999
2/1/19,166.520004,103.059998,387.429993,130.910004,47.34,118.370003,111.300003,76.102234,196.539993,184.369995,134.100006,48.73,134.199997,134.199997,48.700001,176.720001,199.160004,76.449997,102.779999,81.510002,42.880001,97.470001,126.489998,268.720001,118.980003,140.149994,54.549999,71.879997,93.860001,75.919998
2/4/19,171.25,103.419998,397,130.880005,47.349998,119.739998,111.800003,75.618324,197.720001,186.429993,135.190002,49.220001,132.880005,132.880005,49.25,177.550003,200.210007,76.870003,105.739998,81.989998,42.439999,98.029999,126.040001,268.209991,119.139999,141.5,54.040001,71.459999,94.769997,74.82
2/5/19,174.179993,103.900002,410.179993,132,47.259998,119.480003,112.660004,77.226616,198.009995,186.389999,135.550003,50.009998,132.880005,132.880005,49.259998,177.570007,201.119995,77.150002,107.220001,82.860001,42.110001,97.440002,126.18,266.309998,120.769997,142.529999,54.139999,71.309998,95.599998,75.589996
2/6/19,174.240005,104.959999,411.109985,130.539993,47.48,118.879997,111.410004,75.732185,196.619995,184.720001,136.320007,49.900002,133,133,49.259998,176.179993,202.570007,77.389999,106.029999,82.709999,42.330002,97.919998,125.550003,269.5,121.360001,141.490005,53.790001,71.470001,95.639999,75.260002
2/7/19,170.940002,104.389999,405.170013,128.779999,46.700001,118.230003,110.949997,74.266212,193.070007,184.070007,133.190002,49.23,132.050003,132.050003,49.419998,175.279999,199.839996,76.82,105.269997,82.389999,41.700001,97.139999,126.760002,269,120.720001,140.169998,53.57,71.199997,96.730003,74.68
2/8/19,170.410004,104.519997,404.910004,128.600006,47.189999,117.580002,111.510002,73.597282,191.669998,184.539993,133.710007,48.84,132.399994,132.399994,49.5,174.75,199.820007,77.519997,105.669998,82.360001,42.23,97.709999,125.790001,261.899994,122.489998,140.380005,53.950001,70.120003,95.580002,73.980003
